severity,category,path,issue,evidence,recommendation
P0,API reference,/api-reference/openapi.json,"Public OpenAPI spec is Mintlify Plant Store sample, not Oviond.","Found title='OpenAPI Plant Store', server='http://sandbox.mintlify.com', /plants paths.",Replace with the real Oviond OpenAPI JSON or remove/hide the endpoint before launch.
P2,Thin content,/custom-data/upload,Short non-API guide page.,193 words; title='Upload Custom Data',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/custom-domains/add,Short non-API guide page.,165 words; title='Add Domain',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P1,Thin content,/custom-domains/delete,Very thin page content.,115 words; title='Delete Domain',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P2,Thin content,/custom-domains/verify,Short non-API guide page.,173 words; title='Verify Domain',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/data-sources/delete,Short non-API guide page.,139 words; title='Delete Data Source',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/data-sources/link,Short non-API guide page.,154 words; title='Link to Client',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/data-sources/profiles,Short non-API guide page.,180 words; title='Profiles',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/data-sources/test,Short non-API guide page.,159 words; title='Test Connection',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/email-settings/defaults,Short non-API guide page.,148 words; title='Defaults',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/email-settings/domains,Short non-API guide page.,155 words; title='Email Domains',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/email-settings/logs,Short non-API guide page.,181 words; title='Email Logs',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/email-settings/senders,Short non-API guide page.,142 words; title='Senders',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/email-settings/smtp,Short non-API guide page.,187 words; title='SMTP',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/guides/overview,Short non-API guide page.,149 words; title='Overview',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/mcp/connect,Short non-API guide page.,212 words; title='Connect',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/media/bulk-delete,Short non-API guide page.,173 words; title='Bulk Delete',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/media/delete,Short non-API guide page.,151 words; title='Delete Media',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/media/folders,Short non-API guide page.,183 words; title='Folders',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/media/list,Short non-API guide page.,174 words; title='List Media',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/media/update,Short non-API guide page.,134 words; title='Rename Media',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/media/upload,Short non-API guide page.,184 words; title='Upload Media',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/notifications/preferences,Short non-API guide page.,175 words; title='Preferences',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P1,Thin content,/notifications/view,Very thin page content.,87 words; title='View Notifications',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P2,Thin content,/projects/add,Short non-API guide page.,165 words; title='Add Project',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/projects/archive,Short non-API guide page.,157 words; title='Archive Project',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/projects/bulk-delete,Short non-API guide page.,127 words; title='Bulk Delete',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/projects/duplicate,Short non-API guide page.,142 words; title='Duplicate Project',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/projects/list,Short non-API guide page.,177 words; title='List Projects',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/projects/pages,Short non-API guide page.,185 words; title='Pages',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/projects/share,Short non-API guide page.,199 words; title='Share Project',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/projects/update,Short non-API guide page.,140 words; title='Update Project',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/templates/add,Short non-API guide page.,184 words; title='Add Template',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/templates/apply,Short non-API guide page.,160 words; title='Apply Template',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P1,Thin content,/templates/delete,Very thin page content.,109 words; title='Delete Template',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P2,Thin content,/templates/list,Short non-API guide page.,164 words; title='List Templates',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/themes/add,Short non-API guide page.,138 words; title='Add Theme',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/themes/apply,Short non-API guide page.,151 words; title='Apply Theme',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P1,Thin content,/themes/delete,Very thin page content.,105 words; title='Delete Theme',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P2,Thin content,/themes/list,Short non-API guide page.,121 words; title='List Themes',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/themes/update,Short non-API guide page.,130 words; title='Update Theme',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/users/invite,Short non-API guide page.,161 words; title='Invite User',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/users/remove,Short non-API guide page.,145 words; title='Remove User',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/users/update,Short non-API guide page.,132 words; title='Update User',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P1,Thin content,/api/account/delete-account,Very thin page content.,65 words; title='Delete Account',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/account/get-account,Very thin page content.,30 words; title='Get Account',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/account/get-account-usage,Very thin page content.,30 words; title='Get Account Usage',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/activity/list-activity,Very thin page content.,29 words; title='List Activity',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/archive/delete-permanently,Very thin page content.,26 words; title='Delete Permanently',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/archive/get-archive-counts,Very thin page content.,28 words; title='Get Archive Counts',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/archive/list-archive,Very thin page content.,26 words; title='List Archive',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/archive/restore-items,Very thin page content.,25 words; title='Restore Items',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/assets/create-asset,Very thin page content.,25 words; title='Create Asset',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/assets/delete-asset,Very thin page content.,25 words; title='Delete Asset',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/assets/duplicate-asset,Very thin page content.,28 words; title='Duplicate Asset',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/assets/get-asset,Very thin page content.,27 words; title='Get Asset',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/assets/list-asset-tags,Very thin page content.,33 words; title='List Asset Tags',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/assets/list-asset-widgets,Very thin page content.,31 words; title='List Asset Widgets',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/assets/list-assets,Very thin page content.,28 words; title='List Assets',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/assets/update-asset,Very thin page content.,25 words; title='Update Asset',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/automations/bulk-delete-automations,Very thin page content.,33 words; title='Bulk Delete Automations',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/automations/create-automation,Very thin page content.,27 words; title='Create Automation',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/automations/delete-automation,Very thin page content.,32 words; title='Delete Automation',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/automations/get-automation-history,Very thin page content.,29 words; title='Get Automation History',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/automations/list-automations,Very thin page content.,31 words; title='List Automations',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/automations/pause-automation,Very thin page content.,33 words; title='Pause Automation',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/automations/test-automation,Very thin page content.,28 words; title='Test Automation',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/automations/unpause-automation,Very thin page content.,29 words; title='Unpause Automation',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/automations/update-automation,Very thin page content.,28 words; title='Update Automation',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/billing/list-invoices,Very thin page content.,27 words; title='List Invoices',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/billing/list-plans,Very thin page content.,28 words; title='List Plans',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/branding/get-branding,Very thin page content.,25 words; title='Get Branding',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/branding/update-branding,Very thin page content.,25 words; title='Update Branding',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/calculated-metrics/create-calculated-metric,Very thin page content.,27 words; title='Create Calculated Metric',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/calculated-metrics/delete-calculated-metric,Very thin page content.,26 words; title='Delete Calculated Metric',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/calculated-metrics/duplicate-calculated-metric,Very thin page content.,26 words; title='Duplicate Calculated Metric',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/calculated-metrics/list-calculated-metrics,Very thin page content.,31 words; title='List Calculated Metrics',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/calculated-metrics/update-calculated-metric,Very thin page content.,26 words; title='Update Calculated Metric',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/bulk-delete-clients,Very thin page content.,28 words; title='Bulk Delete Clients',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/count-clients,Very thin page content.,29 words; title='Count Clients',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/create-client,Very thin page content.,25 words; title='Create Client',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/delete-client,Very thin page content.,31 words; title='Delete Client',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/get-client,Very thin page content.,27 words; title='Get Client',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/list-all-clients,Very thin page content.,30 words; title='List All Clients',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/list-client-integrations,Very thin page content.,28 words; title='List Client Integrations',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/list-clients,Very thin page content.,28 words; title='List Clients',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/move-client-folder,Very thin page content.,30 words; title='Move Client Folder',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/refresh-screenshot,Very thin page content.,45 words; title='Refresh Screenshot',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/clients/update-client,Very thin page content.,24 words; title='Update Client',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/company/get-company,Very thin page content.,29 words; title='Get Company',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/company/update-company,Very thin page content.,25 words; title='Update Company',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/custom-data/create-custom-data,Very thin page content.,29 words; title='Create Custom Data',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/custom-data/delete-custom-data,Very thin page content.,26 words; title='Delete Custom Data',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/custom-data/duplicate-custom-data,Very thin page content.,26 words; title='Duplicate Custom Data',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/custom-data/get-custom-data,Very thin page content.,32 words; title='Get Custom Data',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/custom-data/list-custom-data,Very thin page content.,33 words; title='List Custom Data',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/custom-data/update-custom-data,Very thin page content.,26 words; title='Update Custom Data',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/data/fetch-resource-data,Very thin page content.,34 words; title='Fetch Resource Data',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/data/list-integration-accounts,Very thin page content.,32 words; title='List Integration Accounts',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/data/query-data,Very thin page content.,31 words; title='Query Data',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/data/test-connection,Very thin page content.,31 words; title='Test Connection',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/add-email-domain,Very thin page content.,30 words; title='Add Email Domain',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/add-email-sender,Very thin page content.,30 words; title='Add Email Sender',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/delete-email-domain,Very thin page content.,32 words; title='Delete Email Domain',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/delete-smtp-config,Very thin page content.,29 words; title='Delete SMTP Config',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/get-email-setup,Very thin page content.,31 words; title='Get Email Setup',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/list-email-logs,Very thin page content.,26 words; title='List Email Logs',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/queue-emails,Very thin page content.,41 words; title='Queue Emails',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/send-email,Very thin page content.,27 words; title='Send Email',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/test-smtp,Very thin page content.,30 words; title='Test SMTP',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/update-email-setup,Very thin page content.,27 words; title='Update Email Setup',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/update-smtp-config,Very thin page content.,29 words; title='Update SMTP Config',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/email/verify-email-domain,Very thin page content.,30 words; title='Verify Email Domain',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/folders/create-folder,Very thin page content.,26 words; title='Create Folder',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/folders/delete-folder,Very thin page content.,31 words; title='Delete Folder',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/folders/list-folders,Very thin page content.,30 words; title='List Folders',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/folders/update-folder,Very thin page content.,25 words; title='Update Folder',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/health/health-check,Very thin page content.,22 words; title='Health Check',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/delete-integration,Very thin page content.,27 words; title='Delete Integration',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/delete-profile,Very thin page content.,26 words; title='Delete Profile',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/link-datasource,Very thin page content.,26 words; title='Link Datasource',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/list-all-profiles,Very thin page content.,30 words; title='List All Profiles',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/list-integration-profiles,Very thin page content.,29 words; title='List Integration Profiles',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/list-integrations,Very thin page content.,31 words; title='List Integrations',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/rename-integration,Very thin page content.,27 words; title='Rename Integration',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/rename-profile,Very thin page content.,26 words; title='Rename Profile',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/test-auth-connection,Very thin page content.,30 words; title='Test Auth Connection',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/unlink-datasource,Very thin page content.,26 words; title='Unlink Datasource',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/integrations/update-client-integrations,Very thin page content.,32 words; title='Update Client Integrations',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/media/bulk-delete-media,Very thin page content.,27 words; title='Bulk Delete Media',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/media/create-media-folder,Very thin page content.,27 words; title='Create Media Folder',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/media/delete-media,Very thin page content.,35 words; title='Delete Media',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/media/delete-media-folder,Very thin page content.,34 words; title='Delete Media Folder',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/media/group-media,Very thin page content.,28 words; title='Group Media',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/media/list-media,Very thin page content.,30 words; title='List Media',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/media/list-media-folders,Very thin page content.,30 words; title='List Media Folders',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/media/rename-media-folder,Very thin page content.,26 words; title='Rename Media Folder',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/media/update-media,Very thin page content.,26 words; title='Update Media',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/pages/create-page,Very thin page content.,28 words; title='Create Page',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/pages/delete-page,Very thin page content.,24 words; title='Delete Page',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/pages/list-pages,Very thin page content.,28 words; title='List Pages',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/pages/update-page,Very thin page content.,24 words; title='Update Page',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/pdf/generate-pdf,Very thin page content.,28 words; title='Generate PDF',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/pdf/get-pdf-status,Very thin page content.,30 words; title='Get PDF Status',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/projects/bulk-delete-projects,Very thin page content.,28 words; title='Bulk Delete Projects',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/projects/create-project,Very thin page content.,25 words; title='Create Project',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/projects/delete-pdf-notification,Very thin page content.,29 words; title='Delete PDF Notification',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/projects/delete-project,Very thin page content.,28 words; title='Delete Project',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/projects/duplicate-project,Very thin page content.,31 words; title='Duplicate Project',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/projects/get-project,Very thin page content.,27 words; title='Get Project',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/projects/list-all-projects,Very thin page content.,32 words; title='List All Projects',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/projects/list-projects,Very thin page content.,32 words; title='List Projects',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/projects/update-project,Very thin page content.,24 words; title='Update Project',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/saved-metrics/create-saved-metric,Very thin page content.,27 words; title='Create Saved Metric',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/saved-metrics/delete-saved-metric,Very thin page content.,26 words; title='Delete Saved Metric',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/saved-metrics/duplicate-saved-metric,Very thin page content.,26 words; title='Duplicate Saved Metric',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/saved-metrics/list-saved-metrics,Very thin page content.,31 words; title='List Saved Metrics',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/saved-metrics/update-saved-metric,Very thin page content.,26 words; title='Update Saved Metric',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/search/search,Very thin page content.,31 words; title='Search',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/templates/create-template,Very thin page content.,32 words; title='Create Template',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/templates/delete-template,Very thin page content.,24 words; title='Delete Template',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/templates/get-template,Very thin page content.,27 words; title='Get Template',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/templates/list-templates,Very thin page content.,28 words; title='List Templates',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
