keyword,cluster,source,seed,relevance_score,search_volume,cpc,competition,competition_level,low_top_of_page_bid,high_top_of_page_bid,monthly_trend_pct,quarterly_trend_pct,yearly_trend_pct,recent_3mo_vs_prior_3mo_pct,latest_month_yoy_pct,keyword_difficulty,main_intent,words_count,last_updated_time
client reporting software,client_reporting,seed,self,16,110,,4,LOW,16.7,47.03,,,,71.4,0.0,,,,
client reporting template,client_reporting,generated,client reporting,14,110,,2,LOW,4.97,14.04,,,,31.6,0.0,,,,
client reporting for marketing agencies,client_reporting,generated,client reporting,17,20,,0,LOW,,,,,,100.0,-25.0,,,,
asset management client reporting software,client_reporting,dataforseo_suggestion,client reporting software,16,10,,0,LOW,,,,,,0.0,-50.0,,,,
client reporting software asset management,client_reporting,dataforseo_suggestion,client reporting software,16,10,,,,,,,,,-50.0,,,,,
client reporting platform,client_reporting,generated,client reporting,14,10,,0,LOW,,,,,,200.0,0.0,,,,
agency reporting for clients,client_reporting,generated,agency reporting,18,,,,,,,,,,,,,,,
client reporting automation,client_reporting,generated,client reporting,17,,,,,,,,,,,,,,,
digital marketing reporting for clients,client_reporting,generated,digital marketing reporting,17,,,,,,,,,,,,,,,
marketing reporting for clients,client_reporting,generated,marketing reporting,17,,,,,,,,,,,,,,,
client reporting for agencies,client_reporting,generated,client reporting,14,,,,,,,,,,,,,,,
client reporting for clients,client_reporting,generated,client reporting,14,,,,,,,,,,,,,,,
client reporting for digital agencies,client_reporting,generated,client reporting,14,,,,,,,,,,,,,,,
client reporting for small agencies,client_reporting,generated,client reporting,14,,,,,,,,,,,,,,,
client reporting reports,client_reporting,generated,client reporting,14,,,,,,,,,,,,,,,
agencyanalytics alternative,competitor_alternative,seed,self,13,590,46.88,18,LOW,10.98,40.64,,,,-50.0,-74.0,,,,
alternative to agencyanalytics,competitor_alternative,dataforseo_suggestion,AgencyAnalytics alternative,15,210,75.98,16,LOW,10.92,43.24,,,,-80.0,-94.9,,,,
supermetrics alternative,competitor_alternative,seed,self,9,210,187.25,17,LOW,37.26,184.21,,,,80.0,-18.8,,,,
looker studio alternative,competitor_alternative,seed,self,12,170,20.47,40,MEDIUM,9.52,21.72,,,,-46.0,-21.4,,,,
alternative to supermetrics,competitor_alternative,dataforseo_suggestion,Supermetrics alternative,11,90,,13,LOW,33.65,270.8,,,,40.0,-85.7,,,,
whatagraph alternative,competitor_alternative,seed,self,9,50,69.96,4,LOW,12.08,84.05,,,,171.4,80.0,,,,
dashthis alternative,competitor_alternative,seed,self,9,40,48.08,12,LOW,18.75,39.18,,,,75.0,0.0,,,,
alternative to looker studio,competitor_alternative,dataforseo_suggestion,Looker Studio alternative,12,30,18.08,27,LOW,13.84,29.98,,,,25.0,66.7,,,,
supermetrics free alternative,competitor_alternative,dataforseo_suggestion,Supermetrics alternative,11,30,,20,LOW,4.99,32.57,,,,33.3,-81.8,,,,
swydo alternative,competitor_alternative,seed,self,9,20,,27,LOW,12.89,28.92,,,,100.0,-33.3,,,,
alternative looker studio,competitor_alternative,dataforseo_suggestion,Looker Studio alternative,12,10,,,,,,,,,-100.0,,,,,
looker studio alternative free,competitor_alternative,dataforseo_suggestion,Looker Studio alternative,12,10,43.16,56,MEDIUM,9.55,30.62,,,,0.0,0.0,,,,
looker studio alternative microsoft,competitor_alternative,dataforseo_suggestion,Looker Studio alternative,12,10,,14,LOW,,,,,,0.0,0.0,,,,
looker studio open source alternative,competitor_alternative,dataforseo_suggestion,Looker Studio alternative,12,10,,86,HIGH,,,,,,0.0,0.0,,,,
alternative to swydo,competitor_alternative,dataforseo_suggestion,Swydo alternative,11,10,,0,LOW,,,,,,33.3,100.0,,,,
free alternative to supermetrics,competitor_alternative,dataforseo_suggestion,Supermetrics alternative,11,10,,14,LOW,,,,,,-33.3,-50.0,,,,
free supermetrics alternative,competitor_alternative,dataforseo_suggestion,Supermetrics alternative,11,10,,86,HIGH,,,,,,,0.0,,,,
supermetrics alternative free,competitor_alternative,dataforseo_suggestion,Supermetrics alternative,11,10,,,,,,,,,0.0,,,,,
supermetrics alternative reddit,competitor_alternative,dataforseo_suggestion,Supermetrics alternative,11,10,,86,HIGH,,,,,,0.0,1000.0,,,,
agencyanalytics alternative reporting software,competitor_alternative,generated,agencyanalytics alternative,26,,,,,,,,,,,,,,,
agencyanalytics alternative reporting tool,competitor_alternative,generated,agencyanalytics alternative,26,,,,,,,,,,,,,,,
looker studio alternative reporting software,competitor_alternative,generated,looker studio alternative,23,,,,,,,,,,,,,,,
looker studio alternative reporting tool,competitor_alternative,generated,looker studio alternative,23,,,,,,,,,,,,,,,
dashthis alternative reporting software,competitor_alternative,generated,dashthis alternative,22,,,,,,,,,,,,,,,
dashthis alternative reporting tool,competitor_alternative,generated,dashthis alternative,22,,,,,,,,,,,,,,,
supermetrics alternative reporting software,competitor_alternative,generated,supermetrics alternative,22,,,,,,,,,,,,,,,
supermetrics alternative reporting tool,competitor_alternative,generated,supermetrics alternative,22,,,,,,,,,,,,,,,
swydo alternative reporting software,competitor_alternative,generated,swydo alternative,22,,,,,,,,,,,,,,,
swydo alternative reporting tool,competitor_alternative,generated,swydo alternative,22,,,,,,,,,,,,,,,
whatagraph alternative reporting software,competitor_alternative,generated,whatagraph alternative,22,,,,,,,,,,,,,,,
whatagraph alternative reporting tool,competitor_alternative,generated,whatagraph alternative,22,,,,,,,,,,,,,,,
agencyanalytics alternative dashboard,competitor_alternative,generated,agencyanalytics alternative,19,,,,,,,,,,,,,,,
agencyanalytics alternative reports,competitor_alternative,generated,agencyanalytics alternative,19,,,,,,,,,,,,,,,
agencyanalytics alternative automation,competitor_alternative,generated,agencyanalytics alternative,18,,,,,,,,,,,,,,,
agencyanalytics alternative for clients,competitor_alternative,generated,agencyanalytics alternative,18,,,,,,,,,,,,,,,
agencyanalytics alternative for marketing agencies,competitor_alternative,generated,agencyanalytics alternative,18,,,,,,,,,,,,,,,
2 minute reports alternative reporting software,competitor_alternative,generated,2 minute reports alternative,17,,,,,,,,,,,,,,,
2 minute reports alternative reporting tool,competitor_alternative,generated,2 minute reports alternative,17,,,,,,,,,,,,,,,
agencyanalytics alternative software,competitor_alternative,generated,agencyanalytics alternative,17,,,,,,,,,,,,,,,
agencyanalytics alternative tool,competitor_alternative,generated,agencyanalytics alternative,17,,,,,,,,,,,,,,,
looker studio alternative dashboard,competitor_alternative,generated,looker studio alternative,16,,,,,,,,,,,,,,,
looker studio alternative reports,competitor_alternative,generated,looker studio alternative,16,,,,,,,,,,,,,,,
2 minute reports alternative dashboard,competitor_alternative,generated,2 minute reports alternative,15,,,,,,,,,,,,,,,
agencyanalytics alternative for agencies,competitor_alternative,generated,agencyanalytics alternative,15,,,,,,,,,,,,,,,
agencyanalytics alternative for digital agencies,competitor_alternative,generated,agencyanalytics alternative,15,,,,,,,,,,,,,,,
agencyanalytics alternative for small agencies,competitor_alternative,generated,agencyanalytics alternative,15,,,,,,,,,,,,,,,
agencyanalytics alternative platform,competitor_alternative,generated,agencyanalytics alternative,15,,,,,,,,,,,,,,,
agencyanalytics alternative template,competitor_alternative,generated,agencyanalytics alternative,15,,,,,,,,,,,,,,,
dashthis alternative dashboard,competitor_alternative,generated,dashthis alternative,15,,,,,,,,,,,,,,,
dashthis alternative reports,competitor_alternative,generated,dashthis alternative,15,,,,,,,,,,,,,,,
looker studio alternative automation,competitor_alternative,generated,looker studio alternative,15,,,,,,,,,,,,,,,
looker studio alternative for clients,competitor_alternative,generated,looker studio alternative,15,,,,,,,,,,,,,,,
supermetrics alternative dashboard,competitor_alternative,generated,supermetrics alternative,15,,,,,,,,,,,,,,,
supermetrics alternative reports,competitor_alternative,generated,supermetrics alternative,15,,,,,,,,,,,,,,,
swydo alternative dashboard,competitor_alternative,generated,swydo alternative,15,,,,,,,,,,,,,,,
swydo alternative reports,competitor_alternative,generated,swydo alternative,15,,,,,,,,,,,,,,,
whatagraph alternative dashboard,competitor_alternative,generated,whatagraph alternative,15,,,,,,,,,,,,,,,
whatagraph alternative reports,competitor_alternative,generated,whatagraph alternative,15,,,,,,,,,,,,,,,
2 minute reports alternative automation,competitor_alternative,generated,2 minute reports alternative,14,,,,,,,,,,,,,,,
dashthis alternative automation,competitor_alternative,generated,dashthis alternative,14,,,,,,,,,,,,,,,
dashthis alternative for clients,competitor_alternative,generated,dashthis alternative,14,,,,,,,,,,,,,,,
dashthis alternative for marketing agencies,competitor_alternative,generated,dashthis alternative,14,,,,,,,,,,,,,,,
looker studio alternative for marketing agencies,competitor_alternative,generated,looker studio alternative,14,,,,,,,,,,,,,,,
looker studio alternative software,competitor_alternative,generated,looker studio alternative,14,,,,,,,,,,,,,,,
looker studio alternative tool,competitor_alternative,generated,looker studio alternative,14,,,,,,,,,,,,,,,
supermetrics alternative automation,competitor_alternative,generated,supermetrics alternative,14,,,,,,,,,,,,,,,
supermetrics alternative for clients,competitor_alternative,generated,supermetrics alternative,14,,,,,,,,,,,,,,,
supermetrics alternative for marketing agencies,competitor_alternative,generated,supermetrics alternative,14,,,,,,,,,,,,,,,
swydo alternative automation,competitor_alternative,generated,swydo alternative,14,,,,,,,,,,,,,,,
swydo alternative for clients,competitor_alternative,generated,swydo alternative,14,,,,,,,,,,,,,,,
swydo alternative for marketing agencies,competitor_alternative,generated,swydo alternative,14,,,,,,,,,,,,,,,
whatagraph alternative automation,competitor_alternative,generated,whatagraph alternative,14,,,,,,,,,,,,,,,
whatagraph alternative for clients,competitor_alternative,generated,whatagraph alternative,14,,,,,,,,,,,,,,,
whatagraph alternative for marketing agencies,competitor_alternative,generated,whatagraph alternative,14,,,,,,,,,,,,,,,
2 minute reports alternative for clients,competitor_alternative,generated,2 minute reports alternative,13,,,,,,,,,,,,,,,
2 minute reports alternative for marketing agencies,competitor_alternative,generated,2 minute reports alternative,13,,,,,,,,,,,,,,,
2 minute reports alternative software,competitor_alternative,generated,2 minute reports alternative,13,,,,,,,,,,,,,,,
2 minute reports alternative tool,competitor_alternative,generated,2 minute reports alternative,13,,,,,,,,,,,,,,,
dashthis alternative software,competitor_alternative,generated,dashthis alternative,13,,,,,,,,,,,,,,,
dashthis alternative tool,competitor_alternative,generated,dashthis alternative,13,,,,,,,,,,,,,,,
supermetrics alternative software,competitor_alternative,generated,supermetrics alternative,13,,,,,,,,,,,,,,,
supermetrics alternative tool,competitor_alternative,generated,supermetrics alternative,13,,,,,,,,,,,,,,,
swydo alternative software,competitor_alternative,generated,swydo alternative,13,,,,,,,,,,,,,,,
swydo alternative tool,competitor_alternative,generated,swydo alternative,13,,,,,,,,,,,,,,,
whatagraph alternative software,competitor_alternative,generated,whatagraph alternative,13,,,,,,,,,,,,,,,
whatagraph alternative tool,competitor_alternative,generated,whatagraph alternative,13,,,,,,,,,,,,,,,
looker studio alternative for agencies,competitor_alternative,generated,looker studio alternative,12,,,,,,,,,,,,,,,
looker studio alternative platform,competitor_alternative,generated,looker studio alternative,12,,,,,,,,,,,,,,,
looker studio alternative template,competitor_alternative,generated,looker studio alternative,12,,,,,,,,,,,,,,,
2 minute reports alternative platform,competitor_alternative,generated,2 minute reports alternative,11,,,,,,,,,,,,,,,
2 minute reports alternative reports,competitor_alternative,generated,2 minute reports alternative,11,,,,,,,,,,,,,,,
2 minute reports alternative template,competitor_alternative,generated,2 minute reports alternative,11,,,,,,,,,,,,,,,
2-minute reports alternative,competitor_alternative,seed,self,11,,,,,,,,,,,,,,,
dashthis alternative for agencies,competitor_alternative,generated,dashthis alternative,11,,,,,,,,,,,,,,,
dashthis alternative for digital agencies,competitor_alternative,generated,dashthis alternative,11,,,,,,,,,,,,,,,
dashthis alternative for small agencies,competitor_alternative,generated,dashthis alternative,11,,,,,,,,,,,,,,,
dashthis alternative platform,competitor_alternative,generated,dashthis alternative,11,,,,,,,,,,,,,,,
dashthis alternative template,competitor_alternative,generated,dashthis alternative,11,,,,,,,,,,,,,,,
looker studio alternative for digital agencies,competitor_alternative,generated,looker studio alternative,11,,,,,,,,,,,,,,,
looker studio alternative for small agencies,competitor_alternative,generated,looker studio alternative,11,,,,,,,,,,,,,,,
supermetrics alternative for agencies,competitor_alternative,generated,supermetrics alternative,11,,,,,,,,,,,,,,,
supermetrics alternative for digital agencies,competitor_alternative,generated,supermetrics alternative,11,,,,,,,,,,,,,,,
supermetrics alternative for small agencies,competitor_alternative,generated,supermetrics alternative,11,,,,,,,,,,,,,,,
supermetrics alternative platform,competitor_alternative,generated,supermetrics alternative,11,,,,,,,,,,,,,,,
supermetrics alternative template,competitor_alternative,generated,supermetrics alternative,11,,,,,,,,,,,,,,,
swydo alternative for agencies,competitor_alternative,generated,swydo alternative,11,,,,,,,,,,,,,,,
swydo alternative for digital agencies,competitor_alternative,generated,swydo alternative,11,,,,,,,,,,,,,,,
swydo alternative for small agencies,competitor_alternative,generated,swydo alternative,11,,,,,,,,,,,,,,,
swydo alternative platform,competitor_alternative,generated,swydo alternative,11,,,,,,,,,,,,,,,
swydo alternative template,competitor_alternative,generated,swydo alternative,11,,,,,,,,,,,,,,,
whatagraph alternative for agencies,competitor_alternative,generated,whatagraph alternative,11,,,,,,,,,,,,,,,
whatagraph alternative for digital agencies,competitor_alternative,generated,whatagraph alternative,11,,,,,,,,,,,,,,,
whatagraph alternative for small agencies,competitor_alternative,generated,whatagraph alternative,11,,,,,,,,,,,,,,,
whatagraph alternative platform,competitor_alternative,generated,whatagraph alternative,11,,,,,,,,,,,,,,,
whatagraph alternative template,competitor_alternative,generated,whatagraph alternative,11,,,,,,,,,,,,,,,
2 minute reports alternative for agencies,competitor_alternative,generated,2 minute reports alternative,10,,,,,,,,,,,,,,,
2 minute reports alternative for digital agencies,competitor_alternative,generated,2 minute reports alternative,10,,,,,,,,,,,,,,,
2 minute reports alternative for small agencies,competitor_alternative,generated,2 minute reports alternative,10,,,,,,,,,,,,,,,
google sheets reporting automation dashboard,connector_automation,generated,google sheets reporting automation,18,,,,,,,,,,,,,,,
google sheets reporting automation for clients,connector_automation,generated,google sheets reporting automation,16,,,,,,,,,,,,,,,
google sheets reporting automation for marketing agencies,connector_automation,generated,google sheets reporting automation,16,,,,,,,,,,,,,,,
google sheets reporting automation software,connector_automation,generated,google sheets reporting automation,16,,,,,,,,,,,,,,,
google sheets reporting automation tool,connector_automation,generated,google sheets reporting automation,16,,,,,,,,,,,,,,,
google sheets reporting automation reporting software,connector_automation,generated,google sheets reporting automation,15,,,,,,,,,,,,,,,
google sheets reporting automation reporting tool,connector_automation,generated,google sheets reporting automation,15,,,,,,,,,,,,,,,
google sheets reporting automation,connector_automation,seed,self,14,,,,,,,,,,,,,,,
google sheets reporting automation platform,connector_automation,generated,google sheets reporting automation,14,,,,,,,,,,,,,,,
google sheets reporting automation reports,connector_automation,generated,google sheets reporting automation,14,,,,,,,,,,,,,,,
google sheets reporting automation template,connector_automation,generated,google sheets reporting automation,14,,,,,,,,,,,,,,,
google sheets reporting automation for agencies,connector_automation,generated,google sheets reporting automation,13,,,,,,,,,,,,,,,
google sheets reporting automation for digital agencies,connector_automation,generated,google sheets reporting automation,13,,,,,,,,,,,,,,,
google sheets reporting automation for small agencies,connector_automation,generated,google sheets reporting automation,13,,,,,,,,,,,,,,,
marketing dashboard software,dashboard_software,seed,self,11,260,66.27,7,LOW,20.31,52.95,,,,-21.3,-46.2,,,,
digital marketing reporting dashboard,dashboard_software,generated,digital marketing reporting,18,170,,2,LOW,34.71,98.12,,,,363.6,-18.8,,,,
marketing reporting dashboard,dashboard_software,generated,marketing reporting,18,170,,3,LOW,21.15,72.72,,,,269.2,0.0,,,,
client reporting dashboard,dashboard_software,generated,client reporting,18,40,,0,LOW,,,,,,333.3,40.0,,,,
agency reporting dashboard,dashboard_software,generated,agency reporting,19,10,71.38,12,LOW,21.1,49.55,,,,33.3,100.0,,,,
best marketing dashboard software,dashboard_software,dataforseo_suggestion,marketing dashboard software,11,10,58.27,3,LOW,,,,,,133.3,300.0,,,,
